cohort_not_russia,purchase_date,user_id
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,501780
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,620862
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,171737
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,171737
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,171737
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,171737
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,633426
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,633363
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,566096
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,518749
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,549329
01.02.2020,01.02.2020,600663
01.02.2020,01.02.2020,367845
01.02.2020,01.02.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.03.2020,367845
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.04.2020,549329
01.02.2020,01.05.2020,549329
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,549329
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,549329
01.02.2020,01.05.2020,171737
01.02.2020,01.05.2020,171737
01.02.2020,01.05.2020,171737
01.02.2020,01.05.2020,549329
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,171737
01.02.2020,01.05.2020,549329
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.05.2020,367845
01.02.2020,01.06.2020,171737
01.02.2020,01.06.2020,171737
01.02.2020,01.06.2020,171737
01.02.2020,01.06.2020,171737
01.02.2020,01.06.2020,171737
01.02.2020,01.06.2020,171737
01.02.2020,01.06.2020,171737
01.02.2020,01.06.2020,171737
01.03.2020,01.03.2020,266214
01.03.2020,01.03.2020,413046
01.03.2020,01.03.2020,229465
01.03.2020,01.03.2020,465977
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,410873
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,266214
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,437284
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,431976
01.03.2020,01.03.2020,173180
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,418950
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,173180
01.03.2020,01.03.2020,431976
01.03.2020,01.03.2020,286108
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,286108
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,392950
01.03.2020,01.03.2020,414464
01.03.2020,01.03.2020,403833
01.03.2020,01.03.2020,410873
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,414464
01.03.2020,01.03.2020,410873
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,410873
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,397520
01.03.2020,01.03.2020,410873
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,431976
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,55952
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,281474
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,256414
01.03.2020,01.03.2020,173180
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,266214
01.03.2020,01.03.2020,215942
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,55952
01.03.2020,01.03.2020,114925
01.03.2020,01.03.2020,256414
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,114925
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.04.2020,281474
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,114925
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,173180
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,173180
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,173180
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,114925
01.03.2020,01.05.2020,114925
01.03.2020,01.05.2020,286108
01.03.2020,01.05.2020,286108
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,114925
01.03.2020,01.05.2020,114925
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,410873
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,114925
01.03.2020,01.05.2020,256414
01.03.2020,01.05.2020,55952
01.03.2020,01.05.2020,55952
01.03.2020,01.05.2020,256414
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,173180
01.03.2020,01.06.2020,173180
01.03.2020,01.06.2020,173180
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,256414
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,266214
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,414464
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,414464
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,410873
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,281474
01.03.2020,01.06.2020,431976
01.03.2020,01.06.2020,410873
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,199291
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,200303
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,714860
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,31709
01.04.2020,01.04.2020,205629
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,205629
01.04.2020,01.04.2020,206900
01.04.2020,01.04.2020,206900
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,424913
01.04.2020,01.04.2020,424913
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,460736
01.04.2020,01.04.2020,460736
01.04.2020,01.04.2020,472067
01.04.2020,01.04.2020,472067
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,507573
01.04.2020,01.04.2020,528723
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,610635
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,612299
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,624965
01.04.2020,01.04.2020,624965
01.04.2020,01.04.2020,624965
01.04.2020,01.04.2020,624965
01.04.2020,01.04.2020,624965
01.04.2020,01.04.2020,624965
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,647638
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,647638
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,652674
01.04.2020,01.04.2020,652674
01.04.2020,01.04.2020,654539
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,31709
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,686779
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,695792
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,46634
